ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2023,"2023",52025,9162,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",2,"Construction",2023,"2023",45763,2918,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",3,"Manufacturing",2023,"2023",94321,36812,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",4,"Wholesale Trade",2023,"2023",86657,26689,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",5,"Retail Trade",2023,"2023",36692,4796,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2023,"2023",68750,29246,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",7,"Information",2023,"2023",124531,43611,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2023,"2023",101375,52175,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2023,"2023",84604,20204,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2023,"2023",71056,15585,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2023,"2023",32444,5709,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",13,"Other Services Except Public Administration",2023,"2023",49786,9593,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",14,"Public Administration",2023,"2023",130769,42963,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2023,"2023",41250,28961,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",2,"Construction",2023,"2023",19966,43517,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",3,"Manufacturing",2023,"2023",75721,30038,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",4,"Wholesale Trade",2023,"2023",27969,53237,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",5,"Retail Trade",2023,"2023",30432,8777,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2023,"2023",27050,17696,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",7,"Information",2023,"2023",58125,28463,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2023,"2023",65606,8842,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2023,"2023",70379,6961,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2023,"2023",51897,6343,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2023,"2023",26604,3041,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",13,"Other Services Except Public Administration",2023,"2023",27560,10311,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",14,"Public Administration",2023,"2023",84012,4846,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2022,"2022",50000,52631,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",2,"Construction",2022,"2022",42664,4650,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",3,"Manufacturing",2022,"2022",96307,36186,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",4,"Wholesale Trade",2022,"2022",63750,29729,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",5,"Retail Trade",2022,"2022",36716,5178,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2022,"2022",64288,25243,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",7,"Information",2022,"2022",93750,53132,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2022,"2022",89595,58387,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2022,"2022",73850,14147,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2022,"2022",61917,16773,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2022,"2022",25321,7038,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",13,"Other Services Except Public Administration",2022,"2022",47096,12309,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
0,"Male",14,"Public Administration",2022,"2022",106993,26526,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2022,"2022",36625,22713,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",2,"Construction",2022,"2022",70716,25770,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",3,"Manufacturing",2022,"2022",76046,22178,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",4,"Wholesale Trade",2022,"2022",28484,48512,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",5,"Retail Trade",2022,"2022",31398,7919,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2022,"2022",38563,11862,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",7,"Information",2022,"2022",60536,21705,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2022,"2022",63006,9608,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2022,"2022",64094,7204,"Santa Barbara, CA","16000US0669070","santa-barbara-ca"
